Epoch       | LR          | train_loss  | val_loss    | train_acc   | val_acc    
------------+-------------+-------------+-------------+-------------+------------
1           | 0.003       | 0.592177    | 0.428078    | 0.6875      | 0.825891   
2           | 0.002997    | 0.289415    | 0.334924    | 0.875       | 0.880755   
3           | 0.002994    | 0.349109    | 0.52526     | 0.84375     | 0.853568   
4           | 0.00299101  | 0.264179    | 0.31239     | 0.90625     | 0.894128   
5           | 0.00298802  | 0.328553    | 0.286379    | 0.90625     | 0.903024   
6           | 0.00298503  | 0.117817    | 0.359411    | 0.9375      | 0.850586   
7           | 0.00298204  | 0.240798    | 0.250644    | 0.90625     | 0.915421   
8           | 0.00297906  | 0.142269    | 0.272803    | 0.9375      | 0.901564   
9           | 0.00297608  | 0.188654    | 0.341863    | 0.9375      | 0.864615   
10          | 0.00297311  | 0.247246    | 0.246546    | 0.875       | 0.914748   
11          | 0.00297013  | 0.168438    | 0.259033    | 0.9375      | 0.910123   
12          | 0.00296716  | 0.338484    | 0.503428    | 0.875       | 0.740832   
13          | 0.0029642   | 0.16414     | 0.220962    | 0.90625     | 0.922989   
