Batch       | Batch_float | loss        | acc        
------------+-------------+-------------+------------
200         | 3.00792     | 0.328869    | 0.8675     
400         | 3.02376     | 0.315498    | 0.873594   
600         | 3.0396      | 0.313612    | 0.870781   
800         | 3.05544     | 0.322009    | 0.863125   
1000        | 3.07128     | 0.322004    | 0.868437   
1200        | 3.08712     | 0.318887    | 0.865313   
1400        | 3.10296     | 0.322091    | 0.869531   
1600        | 3.1188      | 0.306754    | 0.87       
1800        | 3.13464     | 0.318649    | 0.869219   
2000        | 3.15048     | 0.328795    | 0.86125    
2200        | 3.16632     | 0.308286    | 0.872031   
2400        | 3.18216     | 0.321378    | 0.863906   
2600        | 3.198       | 0.319986    | 0.866875   
2800        | 3.21384     | 0.318121    | 0.869219   
3000        | 3.22968     | 0.325132    | 0.864844   
3200        | 3.24553     | 0.328698    | 0.865781   
3400        | 3.26137     | 0.312038    | 0.875938   
3600        | 3.27721     | 0.323892    | 0.865156   
3800        | 3.29305     | 0.293707    | 0.884375   
4000        | 3.30889     | 0.309424    | 0.876719   
4200        | 3.32473     | 0.316596    | 0.871094   
4400        | 3.34057     | 0.322728    | 0.863594   
4600        | 3.35641     | 0.31652     | 0.870469   
4800        | 3.37225     | 0.311555    | 0.875156   
5000        | 3.38809     | 0.305893    | 0.876563   
5200        | 3.40393     | 0.307003    | 0.873437   
5400        | 3.41977     | 0.327603    | 0.86375    
5600        | 3.43561     | 0.308278    | 0.878906   
5800        | 3.45145     | 0.33921     | 0.863906   
6000        | 3.46729     | 0.315749    | 0.869687   
6200        | 3.48313     | 0.309377    | 0.876875   
6400        | 3.49897     | 0.337411    | 0.864531   
6600        | 3.51481     | 0.330648    | 0.86375    
6800        | 3.53065     | 0.295355    | 0.877969   
7000        | 3.54649     | 0.304022    | 0.875625   
7200        | 3.56233     | 0.30582     | 0.872812   
7400        | 3.57817     | 0.307723    | 0.870469   
7600        | 3.59401     | 0.30397     | 0.876094   
7800        | 3.60985     | 0.291582    | 0.88125    
8000        | 3.62569     | 0.307298    | 0.87125    
8200        | 3.64153     | 0.327389    | 0.86625    
8400        | 3.65737     | 0.309091    | 0.871875   
8600        | 3.67321     | 0.322513    | 0.87125    
8800        | 3.68905     | 0.31114     | 0.87625    
9000        | 3.70489     | 0.308076    | 0.87375    
9200        | 3.72073     | 0.302142    | 0.876406   
9400        | 3.73658     | 0.293637    | 0.879844   
9600        | 3.75242     | 0.29839     | 0.880469   
9800        | 3.76826     | 0.304849    | 0.875625   
10000       | 3.7841      | 0.310804    | 0.873281   
10200       | 3.79994     | 0.312958    | 0.870625   
10400       | 3.81578     | 0.305673    | 0.874219   
10600       | 3.83162     | 0.30575     | 0.879062   
10800       | 3.84746     | 0.299561    | 0.880625   
11000       | 3.8633      | 0.315856    | 0.869687   
11200       | 3.87914     | 0.300016    | 0.881719   
11400       | 3.89498     | 0.295326    | 0.878906   
11600       | 3.91082     | 0.296311    | 0.880469   
11800       | 3.92666     | 0.302586    | 0.874062   
12000       | 3.9425      | 0.299617    | 0.879375   
12200       | 3.95834     | 0.312884    | 0.872812   
12400       | 3.97418     | 0.309501    | 0.877812   
12600       | 3.99002     | 0.300357    | 0.877969   
